,label,text
34,1,"evokes a palpable sense of disconnection , made all the more poignant by the incessant use of cell phones ."
35,0,at once half-baked and overheated .
36,1,"an incendiary , deeply thought-provoking look at one of the most peculiar ( and peculiarly venomous ) bigotries in our increasingly frightening theocracy"
37,0,most of the action setups are incoherent .
38,0,"although disney follows its standard formula in this animated adventure , it feels more forced than usual ."
39,0,"there's no mistaking the fact that this hybrid misses the impact of the disney classic , and even that of the excellent 1934 mgm version ."
40,1,"though it's equally solipsistic in tone , the movie has enough vitality to justify the notion of creating a screen adaptation of evans' saga of hollywood excess ."
41,0,distinctly sub-par . . . more likely to drown a viewer in boredom than to send any shivers down his spine .
42,0,"kitschy , flashy , overlong soap opera ."
43,0,i found the movie as divided against itself as the dysfunctional family it portrays .
44,1,"secretary manages a neat trick , bundling the flowers of perversity , comedy and romance into a strangely tempting bouquet of a movie ."
45,0,"with a story as bizarre and mysterious as this , you don't want to be worrying about whether the ineffectual broomfield is going to have the courage to knock on that door ."
46,0,"elicits more groans from the audience than jar jar binks , scrappy doo and scooby dumb , all wrapped up into one ."
47,0,an average b-movie with no aspirations to be anything more .
48,1,what saves this deeply affecting film from being merely a collection of wrenching cases is corcuera's attention to detail .
49,1,"despite the 2-d animation , the wild thornberrys movie makes for a surprisingly cinematic experience ."
50,0,flaccid drama and exasperatingly slow journey .
51,0,the most repugnant adaptation of a classic text since roland joffé and demi moore's the scarlet letter .
52,1,"hard , endearing , caring , warm . bring tissues ."
53,0,villeneuve spends too much time wallowing in bibi's generic angst ( there are a lot of shots of her gazing out windows ) .
54,1,a sensitive and expertly acted crowd-pleaser that isn't above a little broad comedy and a few unabashedly sentimental tears .
55,1,"if you ever wanted to be an astronaut , this is the ultimate movie experience - it's informative and breathtakingly spectacular ."
56,0,"an uplifting , largely bogus story ."
57,1,a diverse and astonishingly articulate cast of palestinian and israeli children .
58,1,"skins has a desolate air , but eyre , a native american raised by white parents , manages to infuse the rocky path to sibling reconciliation with flashes of warmth and gentle humor ."
59,1,"even if you have no interest in the gang-infested , east-vs . -west coast rap wars , this modern mob music drama never fails to fascinate ."
60,0,"what madonna does here can't properly be called acting -- more accurately , it's moving and it's talking and it's occasionally gesturing , sometimes all at once ."
61,1,the visuals alone make metropolis worth seeing .
62,0,a ponderous meditation on love that feels significantly longer than its relatively scant 97 minutes .
63,0,cherish is a dud -- a romantic comedy that's not the least bit romantic and only mildly funny .
64,1,"an example of quiet , confident craftsmanship that tells a sweet , charming tale of intergalactic friendship ."
65,0,"mark wahlberg . . . may look classy in a '60s-homage pokepie hat , but as a character he's dry , dry , dry ."
66,1,the movie sticks much closer to hornby's drop-dead confessional tone than the film version of high fidelity did .
67,1,"day is not a great bond movie , but it is a good bond movie , which still makes it much better than your typical bond knock-offs ."
68,1,"theirs is a simple and heart-warming story , full of mirth that should charm all but the most cynical ."
69,0,"[a] soulless , stupid sequel . . ."
70,1,"roman coppola may never become the filmmaker his dad was , but heck  few filmmakers will . but based on cq , i'll certainly be keeping an eye out for his next project ."
71,0,"there's no denying the elaborateness of the artist's conceptions , nor his ability to depict them with outrageous elan , but really the whole series is so much pretentious nonsense , lavishly praised by those who equate obscurity with profundity ."
72,0,it all seemed wasted like deniro's once promising career and the once grand long beach boardwalk .
73,1,"often messy and frustrating , but very pleasing at its best moments , it's very much like life itself ."
74,1,sensitive ensemble performances and good period reconstruction add up to a moving tragedy with some buoyant human moments .
75,1,the movie is one of the best examples of artful large format filmmaking you are likely to see anytime soon .
76,1,. . . a thoughtful what-if for the heart as well as the mind .
77,1,never [sinks] into exploitation .
78,0,"for its 100 minutes running time , you'll wait in vain for a movie to happen ."
79,0,"queen of the damned as you might have guessed , makes sorry use of aaliyah in her one and only starring role -- she does little here but point at things that explode into flame ."
80,1,a perfectly pleasant if slightly pokey comedy .
81,0,"it is very difficult to care about the character , and that is the central flaw of the film ."
82,1,"the fun of the movie is the chance it affords to watch jackson , who also served as executive producer , take his smooth , shrewd , powerful act abroad ."
83,0,"while this film has an 'a' list cast and some strong supporting players , the tale -- like its central figure , vivi -- is just a little bit hard to love ."
84,0,collapses under its own meager weight .
85,0,"its salient points are simultaneously buried , drowned and smothered in the excesses of writer-director roger avary ."
86,1,a moving and important film .
87,0,"normally , rohmer's talky films fascinate me , but when he moves his setting to the past , and relies on a historical text , he loses the richness of characterization that makes his films so memorable ."
88,0,becomes the last thing you would expect from a film with this title or indeed from any plympton film : boring .
89,1,as a randy film about sexy people in gorgeous places being pushed and pulled ( literally and figuratively ) by desire . . . [sex and lucía] makes for an arousing good time .
90,0,"there's something deeply creepy about never again , a new arrow in schaeffer's quiver of ineptitudes ."
91,1,"ms . seigner and mr . serrault bring fresh , unforced naturalism to their characters ."
92,1,"a touching , small-scale story of family responsibility and care in the community ."
93,0,"the best you can say about it is it's so uninspired , it barely gives one pause when considering some of the other dreck out there right now ."
94,0,"there are some fairly unsettling scenes , but they never succeed in really rattling the viewer ."
95,1,a worthwhile way to spend two hours .
96,1,a conventional but heartwarming tale .
97,1,warm and exotic .
98,0,"i never thought i'd say this , but i'd much rather watch teens poking their genitals into fruit pies !"
99,0,this goofy gangster yarn never really elevates itself from being yet another earnestly generic crime-busting comic vehicle -- a well-intentioned remake that shows some spunk and promise but fails to register as anything distinctive or daring
100,0,"fear permeates the whole of stortelling , todd solondz' oftentimes funny , yet ultimately cowardly autocritique ."
101,0,"twenty years later , reggio still knows how to make a point with poetic imagery , but his ability to startle has been stifled by the very prevalence of the fast-forward technology that he so stringently takes to task ."
102,1,"jacquot has filmed the opera exactly as the libretto directs , ideally capturing the opera's drama and lyricism ."
103,0,too bad kramer couldn't make a guest appearance to liven things up .
104,1,a different movie -- sometimes tedious -- by a director many viewers would like to skip but film buffs should get to know .
105,0,it takes talent to make a lifeless movie about the most heinous man who ever lived .
106,0,set in a 1986 harlem that doesn't look much like anywhere in new york .
107,0,eight legged freaks won't join the pantheon of great monster/science fiction flicks that we have come to love . . .
108,0,"when not wallowing in its characters' frustrations , the movie is busy contriving false , sitcom-worthy solutions to their problems ."
109,0,"when your subject is illusion versus reality , shouldn't the reality seem at least passably real ?"
110,1,"windtalkers is shapelessly gratifying , the kind of movie that invites you to pick apart its faults even as you have to admit that somehow it hit you where you live ."
111,0,imagine susan sontag falling in love with howard stern .
112,1,"the additional storyline is interesting and entertaining , but it doesn't have the same magical quality as the beginning of the story . i like the new footage and still love the old stuff ."
113,1,"prancing his way through the tailor-made part of a male hooker approaching the end of his vitality , jagger obviously relishes every self-mocking moment ."
114,1,consummate actor barry has done excellent work here .
115,1,spielberg has managed to marry science fiction with film noir and action flicks with philosophical inquiry .
116,0,the story . . . is moldy and obvious .
117,1,"this road movie gives you emotional whiplash , and you'll be glad you went along for the ride ."
118,0,"at its best , queen is campy fun like the vincent price horror classics of the '60s . at its worst , it implodes in a series of very bad special effects ."
119,0,it makes me feel weird / thinking about all the bad things in the world / like puppies with broken legs / and butterflies that die / and movies starring pop queens
120,1,"some movies blend together as they become distant memories . mention "" solaris "" five years from now and i'm sure those who saw it will have an opinion to share ."
121,1,neatly constructed thriller .
122,0,"tom shadyac has learned a bit more craft since directing adams , but he still lingers over every point until the slowest viewer grasps it ."
123,1,"para hitler , o mundo era sua tela ; e o horror , seu pincel . e max retrata este fato com elegante abandono , numa triste constatação da realidade histórica ."
124,1,"this fascinating experiment plays as more of a poetic than a strict reality , creating an intriguing species of artifice that gives the lady and the duke something of a theatrical air ."
125,0,"the audience when i saw this one was chuckling at all the wrong times , and that's a bad sign when they're supposed to be having a collective heart attack ."
126,1,"alain choquart's camera barely stops moving , portraying both the turmoil of the time and giving conduct a perpetual sense of urgency , which , for a film that takes nearly three hours to unspool , is both funny and irritating ."
127,1,"it looks closely , insightfully at fragile , complex relationships ."
128,0,"it's fun , but a psychological mess , with austin powers bumping his head on the way out of the closet ."
129,0,"the movie , like bartleby , is something of a stiff -- an extra-dry office comedy that seems twice as long as its 83 minutes ."
130,1,"the chateau belongs to rudd , whose portrait of a therapy-dependent flakeball spouting french malapropisms . . . is a nonstop hoot ."
131,0,"this isn't a terrible film by any means , but it's also far from being a realized work ."
132,1,"the powerpuff girls arrive on the big screen with their super-powers , their super-simple animation and their super-dooper-adorability intact ."
133,1,"like most bond outings in recent years , some of the stunts are so outlandish that they border on being cartoonlike . a heavy reliance on cgi technology is beginning to creep into the series ."
134,1,it's been made with an innocent yet fervid conviction that our hollywood has all but lost .
135,1,"everything you loved about it in 1982 is still there , for everybody who wants to be a kid again , or show it to their own kids ."
136,0,"in the book-on-tape market , the film of "" the kid stays in the picture "" would be an abridged edition"
137,0,not so much farcical as sour .
138,0,"while super troopers is above academy standards , its quintet of writers could still use some more schooling ."
139,1,"[moore's] better at fingering problems than finding solutions . but though he only scratches the surface , at least he provides a strong itch to explore more ."
140,0,"if you go into the theater expecting a scary , action-packed chiller , you might soon be looking for a sign . an exit sign , that is ."
141,0,"the rest of the plot is impossible to explain without blowing whatever tension there is , although it's more comedy than suspense de palma creates ."
142,0,the movie's biggest offense is its complete and utter lack of tension .
143,0,it all drags on so interminably it's like watching a miserable relationship unfold in real time .
144,0,"i'm sure if you're a hartley fan , you might enjoy yourself . . . me , i didn't care for it ."
145,1,nothing can detract from the affection of that moral favorite : friends will be friends through thick and thin .
146,1,an edgy thriller that delivers a surprising punch .
147,0,"it's so underwritten that you can't figure out just where the other characters , including ana's father and grandfather , come down on the issue of ana's future ."
148,0,"so we got ten little indians meets friday the 13th by way of clean and sober , filmed on the set of carpenter's the thing and loaded with actors you're most likely to find on the next inevitable incarnation of the love boat ."
149,1,"the inspirational screenplay by mike rich covers a lot of ground , perhaps too much , but ties things together , neatly , by the end ."
150,0,"the vintage is pure '87 , with a halfhearted twist on its cautionary message : fatal attraction = don't have an affair with a nutjob ; unfaithful = don't if you're married to one ."
151,0,"the acting by the over-25s lacks spark , with csokas particularly unconnected ."
152,0,"none of these characters resembles anyone you've ever met in real life , unless you happen to know annoyingly self-involved people who speak in glib sentences that could have only come from the pen of a screenwriter ."
153,0,the episodic film makes valid points about the depersonalization of modern life . but the characters tend to be cliches whose lives are never fully explored .
154,1,'enigma' is the kind of engaging historical drama that hollywood appears to have given up on in favor of sentimental war movies in the vein of 'we were soldiers . '
155,1,"a superlative b movie -- funny , sexy , and rousing ."
156,0,"feels aimless for much of its running time , until late in the film when a tidal wave of plot arrives , leaving questions in its wake ."
157,1,"a powerful and telling story that examines forbidden love , racial tension , and other issues that are as valid today as they were in the 1950s ."
158,0,"after all the big build-up , the payoff for the audience , as well as the characters , is messy , murky , unsatisfying ."
159,1,delightfully rendered
160,1,with exquisite craftsmanship . . . olivier assayas has fashioned an absorbing look at provincial bourgeois french society .
161,0,chao was chen kaige's assistant for years in china . he has not learnt that storytelling is what the movies are about .
162,0,the narrative is so consistently unimaginative that probably the only way to have saved the film is with the aid of those wisecracking mystery science theater 3000 guys .
163,1,several degrees shy of the gross-out contests one expects from current teen fare .
164,1,"the two leads , nearly perfect in their roles , bring a heart and reality that buoy the film , and at times , elevate it to a superior crime movie ."
165,1,"as the two leads , lathan and diggs are charming and have chemistry both as friends and lovers ."
166,1,"a beautiful , timeless and universal tale of heated passions -- jealousy , betrayal , forgiveness and murder ."
167,0,"the performances are so leaden , michael rymer's direction is so bloodless and the dialogue is so corny that the audience laughs out loud ."
168,0,"nothing debases a concept comedy quite like the grinding of bad ideas , and showtime is crammed full of them ."
169,0,it's fitfully funny but never really takes off .
170,0,"tale will be all too familiar for anyone who's seen george roy hill's 1973 film , "" the sting . """
171,0,"there's a little violence and lots of sex in a bid to hold our attention , but it grows monotonous after a while , as do joan and philip's repetitive arguments , schemes and treachery ."
172,0,equlibrium could pass for a thirteen-year-old's book report on the totalitarian themes of 1984 and farenheit 451 .
173,1,"smart , provocative and blisteringly funny ."
174,1,"seems based on ugly ideas instead of ugly behavior , as happiness was . . . hence , storytelling is far more appealing ."
175,0,exactly what it claims to be -- a simple diversion for the kids .
176,0,"a sour , nasty offering ."
177,1,"an eloquent , reflective and beautifully acted meditation on both the profoundly devastating events of one year ago and the slow , painful healing process that has followed in their wake ."
178,1,no screen fantasy-adventure in recent memory has the showmanship of clones' last 45 minutes .
179,0,"to build a feel-good fantasy around a vain dictator-madman is off-putting , to say the least , not to mention inappropriate and wildly undeserved ."
180,1,it's one of the most honest films ever made about hollywood .
181,1,"at times the guys taps into some powerful emotions , but this kind of material is more effective on stage . it's not a motion picture ; it's an utterly static picture ."
182,0,"it's not only dull because we've seen [eddie] murphy do the genial-rogue shtick to death , but because the plot is equally hackneyed ."
183,1,the movie is saved from unbearable lightness by the simplicity of the storytelling and the authenticity of the performances .
184,1,lovely and poignant . puts a human face on a land most westerners are unfamiliar with .
185,1,"well-written , nicely acted and beautifully shot and scored , the film works on several levels , openly questioning social mores while ensnaring the audience with its emotional pull ."
186,0,the whole thing plays out with the drowsy heaviness of synchronized swimmer wearing a wool wetsuit .
187,0,"if you're not fans of the adventues of steve and terri , you should avoid this like the dreaded king brown snake . personally , i'd rather watch them on the animal planet ."
188,1,"obligada para impotentes , daneses , camareras italianas , profesores de idiomas , y todo aquel que desee una lengua para expresar su amor ."
189,1,it's a diverting enough hour-and-a-half for the family audience .
190,1,"a film of epic scale with an intimate feeling , a saga of the ups and downs of friendships ."
191,1,"it's about individual moments of mood , and an aimlessness that's actually sort of amazing ."
192,0,"based on a david leavitt story , the film shares that writer's usual blend of observant cleverness , too-facile coincidence and slightly noxious preciousness ."
193,0,the movie's heavy-handed screenplay navigates a fast fade into pomposity and pretentiousness .
194,1,"as adapted by kevin molony from simon leys' novel "" the death of napoleon "" and directed by alan taylor , napoleon's journey is interesting but his parisian rebirth is stillborn"
195,1,"whenever it threatens to get bogged down in earnest dramaturgy , a stirring visual sequence like a surge through swirling rapids or a leap from pinnacle to pinnacle rouses us . if horses could fly , this is surely what they'd look like ."
196,1,"the 3d images only enhance the film's otherworldly quality , giving it a strange combo of you-are-there closeness with the disorienting unreality of the seemingly broken-down fourth wall of the movie screen ."
197,0,"frankly , it's pretty stupid . i had more fun with ben stiller's zoolander , which i thought was rather clever . but there's plenty to offend everyone . . ."
198,1,"a comprehensive and provocative film -- one that pushes the boundaries of biography , and challenges its audience ."
199,0,a big fat pain .
200,0,is it possible for a documentary to be utterly entranced by its subject and still show virtually no understanding of it ?
201,0,to imagine the life of harry potter as a martial arts adventure told by a lobotomized woody allen is to have some idea of the fate that lies in store for moviegoers lured to the mediocrity that is kung pow : enter the fist .
202,0,"unspools like a highbrow , low-key , 102-minute infomercial , blending entrepreneurial zeal with the testimony of satisfied customers ."
203,0,"opens at a funeral , ends on the protagonist's death bed and doesn't get much livelier in the three hours in between ."
204,0,less worrying about covering all the drama in frida's life and more time spent exploring her process of turning pain into art would have made this a superior movie .
205,0,"davis has energy , but she doesn't bother to make her heroine's book sound convincing , the gender-war ideas original , or the comic scenes fly ."
206,1,"invigorating , surreal , and resonant with a rainbow of emotion ."
207,0,"when cowering and begging at the feet a scruffy giannini , madonna gives her best performance since abel ferrara had her beaten to a pulp in his dangerous game ."
208,0,a big meal of cliches that the talented cast generally chokes on .
209,0,"due to some script weaknesses and the casting of the director's brother , the film trails off into inconsequentiality ."
210,0,this film's relationship to actual tension is the same as what christmas-tree flocking in a spray can is to actual snow : a poor -- if durable -- imitation .
211,0,a poky and pseudo-serious exercise in sham actor workshops and an affected malaise .
212,1,"like mike is a harmlessly naïve slice of b-ball fantasy , fit for filling in during the real nba's off-season ."
213,1,"it's a setup so easy it borders on facile , but keeping the film from cheap-shot mediocrity is its crack cast ."
214,0,"resident evil isn't a product of its cinematic predecessors so much as an mtv , sugar hysteria , and playstation cocktail ."
215,0,the story and characters are nowhere near gripping enough .
216,1,"a spellbinding african film about the modern condition of rootlessness , a state experienced by millions around the globe ."
217,0,"if the idea of the white man arriving on foreign shores to show wary natives the true light is abhorrent to you , the simplistic heaven will quite likely be more like hell ."
218,1,a candid and often fascinating documentary about a pentecostal church in dallas that assembles an elaborate haunted house each year to scare teenagers into attending services .
219,1,trades run-of-the-mill revulsion for extreme unease .
220,0,"this is no "" waterboy ! """
221,1,"mastering its formidable arithmetic of cameras and souls , group articulates a flood of emotion ."
222,1,an infectious cultural fable with a tasty balance of family drama and frenetic comedy .
223,1,"ramsay , as in ratcatcher , remains a filmmaker with an acid viewpoint and a real gift for teasing chilly poetry out of lives and settings that might otherwise seem drab and sordid ."
224,0,"schaeffer has to find some hook on which to hang his persistently useless movies , and it might as well be the resuscitation of the middle-aged character ."
225,1,"stanley kwan has directed not only one of the best gay love stories ever made , but one of the best love stories of any stripe ."
226,1,it's that rare family movie -- genuine and sweet without relying on animation or dumb humor .
227,1,os universos de chuck barris e charlie kaufman são complementares . e igualmente fascinantes .
228,0,this is a film living far too much in its own head .
229,1,[a] devastatingly powerful and astonishingly vivid holocaust drama .
230,0,"a turgid little history lesson , humourless and dull ."
231,1,mr . spielberg and his company just want you to enjoy yourselves without feeling conned . and they succeed merrily at their noble endeavor .
232,1,"aside from rohmer's bold choices regarding point of view , the lady and the duke represents the filmmaker's lifelong concern with formalist experimentation in cinematic art ."
233,0,"jackson shamefully strolls through this mess with a smug grin , inexplicably wearing a kilt and carrying a bag of golf clubs over one shoulder ."
234,1,this film puts wang at the forefront of china's sixth generation of film makers .
235,0,absurdities and clichés accumulate like lint in a fat man's navel .
236,1,"it's full of cheesy dialogue , but great trashy fun that finally returns de palma to his pulpy thrillers of the early '80s ."
237,1,"hilarious , acidic brit comedy ."
238,1,there's something about a marching band that gets me where i live .
239,0,"were dylan thomas alive to witness first-time director ethan hawke's strained chelsea walls , he might have been tempted to change his landmark poem to , 'do not go gentle into that good theatre . '"
240,1,"like an episode of mtv's undressed , with 20 times the creativity but without any more substance . . . indulgently entertaining but could have and should have been deeper ."
241,0,"a boring , wincingly cute and nauseatingly politically correct cartoon guaranteed to drive anyone much over age 4 screaming from the theater ."
242,0,these people wouldn't know subtle characterization if it put on a giant furry monster costume and then gave them a lapdance .
243,1,"it's truly awful and heartbreaking subject matter , but one whose lessons are well worth revisiting as many times as possible ."
244,0,"as a director , eastwood is off his game -- there's no real sense of suspense , and none of the plot 'surprises' are really surprising ."
245,1,a very funny look at how another culture handles the process of courting and marriage .
246,1,"renner ? s face is chillingly unemotive , yet he communicates a great deal in his performance . see it for his performance if nothing else ."
247,1,"winds up being both revelatory and narcissistic , achieving some honest insight into relationships that most high-concept films candy-coat with pat storylines , precious circumstances and beautiful stars ."
248,1,a great cast and a wonderful but sometimes confusing flashback movie about growing up in a dysfunctional family .
249,0,"can't get enough of libidinous young city dwellers ? try this obscenely bad dark comedy , so crass that it makes edward burns' sidewalks of new york look like oscar wilde ."
250,0,slick piece of cross-promotion .
251,0,"although no pastry is violated , this nasty comedy pokes fun at the same easy targets as other rowdy raunch-fests -- farts , boobs , unmentionables -- without much success ."
252,1,well-done supernatural thriller with keen insights into parapsychological phenomena and the soulful nuances of the grieving process .
253,0,"feels like one of those contrived , only-in -hollywood productions where name actors deliver big performances created for the sole purpose of generating oscar talk ."
254,1,"offers big , fat , dumb laughs that may make you hate yourself for giving in . ah , what the hell ."
255,0,even die-hard fans of japanese animation . . . will find this one a challenge .
256,1,a true pleasure .
257,1,"alternately hilarious and sad , aggravating and soulful , scathing and joyous . it's a masterpeice ."
258,1,"the story feels more like a serious read , filled with heavy doses of always enticing sayles dialogue ."
259,0,"like being invited to a classy dinner soiree and not knowing anyone . you leave the same way you came -- a few tasty morsels under your belt , but no new friends ."
260,1,an original gem about an obsession with time .
261,1,"maybe it's just because this past year has seen the release of some of the worst film comedies in decades . . . but honestly , analyze that really isn't all that bad ."
262,0,"take away the controversy , and it's not much more watchable than a mexican soap opera ."
263,1,"the sentimental script has problems , but the actors pick up the slack ."
264,1,"as blunt as it is in depicting child abuse , el bola is a movie steeped in an ambiguity that lends its conflicts a symbolic resonance ."
265,0,a non-mystery mystery .
266,0,highly uneven and inconsistent . . . margarita happy hour kinda resembles the el cheapo margaritas served within .
267,0,"while certain cues , like the happy music , suggest that this movie is supposed to warm our hearts , jeong-hyang lee's film is just as likely to blacken that organ with cold vengefulness ."
268,0,"there are deeply religious and spiritual people in this world who would argue that entering a church , synagogue or temple doesn't mean you have to check your brain at the door . the same should go for movie theaters ."
269,1,"morton uses her face and her body language to bring us morvern's soul , even though the character is almost completely deadpan ."
270,0,"la cinta comienza intentando ser un drama , rápidamente se transforma en una comedia y termina por ser una parodia absolutamente predecible"
271,0,this movie . . . doesn't deserve the energy it takes to describe how bad it is .
272,0,"in the real world , an actor this uncharismatically beautiful would have a résumé loaded with credits like "" girl in bar #3 . """
273,0,long on twinkly-eyed close-ups and short on shame .
274,0,chokes on its own depiction of upper-crust decorum .
275,1,"everytime you think undercover brother has run out of steam , it finds a new way to surprise and amuse ."
276,0,"femme fatale offers nothing more than a bait-and-switch that is beyond playing fair with the audience . are we dealing with dreams , visions or being told what actually happened as if it were the third ending of clue ?"
277,0,"watching the powerpuff girls movie , my mind kept returning to one anecdote for comparison : the cartoon in japan that gave people seizures ."
278,1,"i know i shouldn't have laughed , but hey , those farts got to my inner nine-year-old ."
279,0,"the best thing about the movie is its personable , amusing cast ."
280,0,shankman . . . and screenwriter karen janszen bungle their way through the narrative as if it were a series of bible parables and not an actual story .
281,0,a cinematic sleeping pill of impressive potency .
282,1,"charlotte sometimes is a brilliant movie . it is about irrational , unexplainable life and it seems so real because it does not attempt to filter out the complexity ."
283,1,"dazzling and sugar-sweet , a blast of shallow magnificence that only sex , scandal , and a chorus line of dangerous damsels can deliver ."
284,1,"like mike doesn't win any points for originality . it does succeed by following a feel-good formula with a winning style , and by offering its target audience of urban kids some welcome role models and optimism ."
285,1,"a movie that's just plain awful but still manages to entertain on a guilty-pleasure , so-bad-it's-funny level ."
286,1,"the heart of the film is a touching reflection on aging , suffering and the prospect of death ."
287,0,"an erotic thriller that's neither too erotic nor very thrilling , either ."
288,1,the film is an enjoyable family film -- pretty much aimed at any youngster who loves horses .
289,0,"unsurprisingly , the way this all works out makes the women look more like stereotypical caretakers and moral teachers , instead of serious athletes ."
290,1,"at about 95 minutes , treasure planet maintains a brisk pace as it races through the familiar story . however , it lacks grandeur and that epic quality often associated with stevenson's tale as well as with earlier disney efforts ."
291,0,"alex nohe's documentary plays like a travelogue for what mostly resembles a real-life , big-budget nc-17 version of tank girl ."
292,0,the sequel plays out like a flimsy excuse to give blade fans another look at wesley snipes' iconic hero doing battle with dozens of bad guys -- at once .
293,1,"if you've ever wondered what an ending without the input of studio executives or test audiences would look like , here it is ."
294,1,"the leaping story line , shaped by director peter kosminsky into sharp slivers and cutting impressions , shows all the signs of rich detail condensed into a few evocative images and striking character traits ."
295,0,"rymer doesn't trust laughs -- and doesn't conjure proper respect for followers of the whole dead-undead genre , who deserve more from a vampire pic than a few shrieky special effects ."
296,0,"other than a mildly engaging central romance , hospital is sickly entertainment at best and mind-destroying cinematic pollution at worst ."
297,0,"by the miserable standards to which the slasher genre has sunk , . . . actually pretty good . of course , by more objective measurements it's still quite bad ."
298,1,"like its predecessor , it's no classic , but it provides a reasonably attractive holiday contraption , one that families looking for a clean , kid-friendly outing should investigate ."
299,1,"short-story quaint , touchingly mending a child's pain for his dead mother via communication with an old woman straight out of eudora welty ."
300,0,". . . no charm , no laughs , no fun , no reason to watch ."
301,0,"a hit- and-miss affair , consistently amusing but not as outrageous or funny as cho may have intended or as imaginative as one might have hoped ."
302,1,"what could have easily become a cold , calculated exercise in postmodern pastiche winds up a powerful and deeply moving example of melodramatic moviemaking ."
303,1,"it's a talking head documentary , but a great one ."
304,0,an overstuffed compendium of teen-catholic-movie dogma .
305,1,a knowing sense of humor and a lot of warmth ignite son of the bride .
306,1,"assured , glossy and shot through with brittle desperation ."
307,0,only about as sexy and dangerous as an actress in a role that reminds at every turn of elizabeth berkley's flopping dolphin-gasm .
308,1,a rude black comedy about the catalytic effect a holy fool has upon those around him in the cutthroat world of children's television .
309,1,"a stylish but steady , and ultimately very satisfying , piece of character-driven storytelling ."
310,1,"the off-center humor is a constant , and the ensemble gives it a buoyant delivery ."
311,1,genuinely touching because it's realistic about all kinds of love .
312,1,"enormously likable , partly because it is aware of its own grasp of the absurd ."
313,0,the truth about charlie is that it's a brazenly misguided project .
314,0,"unfortunately , kapur modernizes a . e . w . mason's story to suit the sensibilities of a young american , a decision that plucks "" the four feathers "" bare ."
315,1,"the movie isn't always easy to look at . but if it is indeed a duty of art to reflect life , than leigh has created a masterful piece of artistry right here ."
